time_s,fz_N,velocity_mps,state,surface
20.2,-5.8991,0.0,CONTACT,MIR
20.25,-6.0565,0.0,CONTACT,MIR
20.3,-6.0268,0.1991,CONTACT,MIR
20.35,-5.8348,0.0,CONTACT,MIR
20.4,-6.3993,0.0,CONTACT,MIR
20.45,-6.26,0.0,CONTACT,MIR
20.5,-6.2972,0.1901,CONTACT,MIR
20.55,-6.4358,0.0,CONTACT,MIR
20.6,-6.1047,0.0,CONTACT,MIR
20.65,-5.8192,0.0,CONTACT,MIR
20.7,-6.026,0.1991,CONTACT,MIR
20.75,-5.9141,0.0,CONTACT,MIR
20.8,-5.7358,0.0,CONTACT,MIR
20.85,-5.6881,0.0,CONTACT,MIR
20.9,-5.9675,0.1989,CONTACT,MIR
20.95,-5.7107,0.0,CONTACT,MIR
21.0,-5.963,0.0,CONTACT,MIR
21.05,-6.1489,0.0,CONTACT,MIR
21.1,-6.1003,0.1967,CONTACT,MIR
21.15,-6.2806,0.0,CONTACT,MIR
21.2,-6.1621,0.0,CONTACT,MIR
21.25,-6.0561,0.0,CONTACT,MIR
21.3,-5.8238,0.1941,CONTACT,MIR
21.35,-5.6274,0.0,CONTACT,MIR
21.4,-6.248,0.0,CONTACT,MIR
21.45,-5.893,0.0,CONTACT,MIR
21.5,-6.1797,0.194,CONTACT,MIR
21.55,-5.8787,0.0,CONTACT,MIR
21.6,-5.9999,0.0,CONTACT,MIR
21.65,-6.3398,0.0,CONTACT,MIR
21.7,-5.788,0.1929,CONTACT,MIR
21.75,-6.0944,0.0,CONTACT,MIR
21.8,-6.0802,0.0,CONTACT,MIR
21.85,-6.1874,0.0,CONTACT,MIR
21.9,-6.1043,0.1965,CONTACT,MIR
21.95,-5.8692,0.0,CONTACT,MIR
22.0,-5.9926,0.0,CONTACT,MIR
22.05,-5.889,0.0,CONTACT,MIR
22.1,-5.8824,0.1961,CONTACT,MIR
22.15,-5.7053,0.0,CONTACT,MIR
22.2,-6.038,0.0,CONTACT,MIR
